,course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year,month
0,288942,#1 Piano Hand Coordination: Play 10th Ballad in Eb Key songs,1,35,3137,18,68,All Levels,1.5,Musical Instruments,2014,09
1,1170074,#10 Hand Coordination - Transfer Chord Ballad 9 - C & Bb Key,1,75,1593,1,41,Intermediate Level,1,Musical Instruments,2017,04
2,1193886,#12 Hand Coordination: Let your Hands dance with Ballad 9,1,75,482,1,47,Intermediate Level,1.5,Musical Instruments,2017,04
3,1116700,#4 Piano Hand Coordination: Fun Piano Runs in 2 Beats C Key,1,75,850,3,43,Intermediate Level,1,Musical Instruments,2017,02
4,1120410,#5  Piano Hand Coordination:  Piano Runs in 2 Beats Eb Key,1,75,940,3,32,Intermediate Level,0.6,Musical Instruments,2017,02
5,1122832,#6 Piano Hand Coordination: Play Open 10 Ballad to 9/4 Song,1,65,2015,3,21,Intermediate Level,0.7,Musical Instruments,2017,03
6,1123184,#7 Piano Hand Coordination: Play Piano Runs in 3 Beats 9/4,1,65,2015,2,25,Intermediate Level,1,Musical Instruments,2017,03
7,768028,* An Integrated Approach to the Fundamentals of Accounting,1,200,134,14,123,All Levels,5.5,Business Finance,2016,03
8,206592,:::Beginners Guide To Creating Amazing Images with Canva:::,1,25,72,5,17,Beginner Level,1,Graphic Design,2014,04
9,738910,[Value Investing] Where White People Keep Their Money,1,200,2715,70,20,Expert Level,4,Business Finance,2016,05
10,591880,1 - Concepts of Statistics For Beginners Step by Step,1,200,273,4,15,Beginner Level,0.5,Business Finance,2015,08
11,64605,1 Hour CSS,1,100,18324,333,16,Beginner Level,1,Web Development,2013,07
12,64422,1 Hour HTML,1,200,16212,514,20,Beginner Level,1,Web Development,2013,07
13,63612,1 Hour JavaScript,1,200,22999,602,18,Beginner Level,1,Web Development,2013,07
14,72262,1 hour jQuery,1,100,5456,133,25,Beginner Level,1,Web Development,2013,08
15,145220,1. Principles of Simple Interest ,1,20,1074,6,13,All Levels,1,Business Finance,2014,01
16,302450,10 Numbers Every Business Owner Should Know,1,20,13,1,9,All Levels,1,Business Finance,2015,03
17,157336,10.  Bonds and Bond Pricing,1,20,308,4,10,All Levels,1,Business Finance,2014,02
18,897162,101 Awesome Rockabilly Guitar Licks,1,40,407,64,33,Intermediate Level,2.5,Musical Instruments,2016,08
19,384928,101 Blues riffs - learn how the harmonica superstars do it,1,200,1350,65,55,Intermediate Level,6.5,Musical Instruments,2015,01
20,1165268,15  Motion Graphic Elements in After Effect (Series 2),1,30,8,0,20,Intermediate Level,3,Graphic Design,2017,04
21,315716,15 Mandamientos para ganar dinero en Bolsa,1,20,45,2,49,All Levels,8.5,Business Finance,2014,10
22,759972,150 Rock Guitar Licks You MUST Know,1,45,252,14,21,All Levels,4.5,Musical Instruments,2016,02
23,550842,16 Guitar Chords to Jam With - (Beginner - Intermediate),1,20,1224,19,20,Beginner Level,1,Musical Instruments,2015,07
24,975916,17 Complete JavaScript   projects explained step by step,1,185,327,26,106,Beginner Level,9.5,Web Development,2016,10
25,638966,188% Profit in 1Year - Forex ALGO Robot Trading no indicator,1,120,357,71,20,All Levels,2,Business Finance,2016,05
26,486240,2 Easy Steps To Investment And Avoiding Traps,1,20,828,1,20,All Levels,1,Business Finance,2015,04
27,146454,2. Principles of Simple Interest - advanced problems,1,20,10,1,12,Intermediate Level,1.5,Business Finance,2014,01
28,54246,3 documentos clave para administrar tu empresa con éxito,1,45,40,6,18,Intermediate Level,1,Business Finance,2013,05
29,1089610,3 Little Pigs: A Multiple Timeframe Forex Trading Strategy,1,20,18,0,6,All Levels,1.5,Business Finance,2017,02
30,687248,3 step formula for playing guitar by ear,1,25,3937,54,20,Beginner Level,1.5,Musical Instruments,2015,12
31,159388,3. Compound Interest ,1,20,570,2,21,All Levels,2,Business Finance,2014,02
32,1207112,30 Day Guitar Jump Start for Success,1,105,31,4,92,Beginner Level,4,Musical Instruments,2017,05
33,670640,31 Day Guitar Challenge,1,40,1029,22,32,Beginner Level,3.5,Musical Instruments,2015,11
34,592594,3D Programming with WebGL and Babylon.js for Beginners,1,200,549,49,18,Intermediate Level,2,Web Development,2015,08
35,1164876,3DS MAX - Learn 3Ds MAX tutorial for Beginners in Urdu Hindi,1,20,785,2,29,All Levels,4.5,Graphic Design,2017,04
36,975982,4 Easy Daily Forex Trades: A Recipe for Trading Success,1,200,319,19,12,All Levels,1,Business Finance,2016,11
37,1234656,4 Week Rhythm Mastery,1,20,0,0,28,Beginner Level,2.5,Musical Instruments,2017,07
38,155616,4. Ordinary Simple Annuities: The Basics,1,20,237,1,17,All Levels,1.5,Business Finance,2014,01
39,599652,48 Logo Designs and Techniques,1,20,113,9,48,All Levels,9,Graphic Design,2015,09
40,830568,5 Exotic Guitar Scales and How to Use Them Effectively,1,50,1319,101,21,Intermediate Level,1,Musical Instruments,2016,08
41,286070,5 lecciones que todo guitarrista debe tomar,0,0,4452,263,14,Beginner Level,1,Musical Instruments,2014,08
42,602450,6 Must Know Tricks to Successful Solos,1,35,469,38,30,All Levels,4,Musical Instruments,2015,09
43,166842,6. Annuities Due and Deferred,1,20,170,0,16,All Levels,1.5,Business Finance,2014,02
44,1231958,60 Minutes to Fundamental Accounting Skills,1,75,0,0,9,Beginner Level,2.5,Business Finance,2017,06
45,889824,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,1,20,1027,29,25,All Levels,1.5,Business Finance,2016,07
46,606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,1,50,5354,24,23,All Levels,1.5,Business Finance,2015,09
47,1269190,7 Secrets To Designing In Black and White,1,100,1000,1,12,All Levels,1.5,Graphic Design,2017,06
